,Unnamed: 0,Problem Name,Unnamed: 2,Online Judge,Year,Contest,Difficulty Level
32,33,Maximum Value,Categories,Codeforces,,Codeforces Round #276 (Div. 1) & Codeforces Round #276 (Div. 2),3
33,34,A and B and Interesting Substrings,Categories,Codeforces,,Codeforces Round #294 (Div. 2),3
34,35,Bicycle Race,Categories,Codeforces,,Codeforces Round #346 (Div. 2),3
35,36,Zuma,Categories,Codeforces,,Codeforces Round #336 (Div. 1) & Codeforces Round #336 (Div. 2),3
36,37,Pashmak and Parmida's problem,Categories,Codeforces,,Codeforces Round #261 (Div. 2),3
37,38,Good Substrings,Categories,Codeforces,,Codeforces Round #166 (Div. 2),3
38,39,Arpa's weak amphitheater and Mehrdad's valuable Hoses,Categories,Codeforces,,Codeforces Round #383 (Div. 1) & Codeforces Round #383 (Div. 2),3
39,40,Cloud of Hashtags,Categories,Codeforces,,Codeforces Round #401 (Div. 2),3
40,41,Kostya the Sculptor,Categories,Codeforces,,Codeforces Round #378 (Div. 2),3
41,42,Interesting Array,Categories,Codeforces,,Codeforces Round #275 (Div. 1) & Codeforces Round #275 (Div. 2),3
42,43,Ilya and Escalator,Categories,Codeforces,,Codeforces Round #293 (Div. 2),3
43,44,Fix a Tree,Categories,Codeforces,,Codeforces Round #363 (Div. 1) & Codeforces Round #363 (Div. 2),3
44,45,Sorting the Coins,Categories,Codeforces,,"Codeforces Round #441 (Div. 1, by Moscow Team Olympiad) & Codeforces Round #441 (Div. 2, by Moscow Team Olympiad)",3
45,46,Kefa and Dishes,Categories,Codeforces,,Codeforces Round #321 (Div. 2),3
46,47,Polyline,Categories,Codeforces,,Codeforces Round #340 (Div. 2),3
47,48,Greenhouse Effect,Categories,Codeforces,,Codeforces Round #165 (Div. 1) & Codeforces Round #165 (Div. 2),3
48,49,Make a Permutation!,Categories,Codeforces,,Codeforces Round #436 (Div. 2),3
49,50,Colorful Graph,Categories,Codeforces,,Codeforces Round #151 (Div. 2),3
50,51,Vasiliy's Multiset,Categories,Codeforces,,Codeforces Round #367 (Div. 2),3
51,52,Gargari and Permutations,Categories,Codeforces,,Codeforces Round #264 (Div. 2),3
52,53,Exams,Categories,Codeforces,,Codeforces Round #377 (Div. 2),3
53,54,Long Jumps,Categories,Codeforces,,Codeforces Round #274 (Div. 2) & Codeforces Round #274 (Div. 1),3
54,55,Green and Black Tea,Categories,Codeforces,,Codeforces Round #386 (Div. 2),3
55,56,Common Divisors,Categories,Codeforces,,Codeforces Round #117 (Div. 2),3
56,57,Greg and Graph,Categories,Codeforces,,Codeforces Round #179 (Div. 1) & Codeforces Round #179 (Div. 2),3
57,58,Little Girl and Maximum XOR,Categories,Codeforces,,Codeforces Round #169 (Div. 2),3
58,59,Little Elephant and Array,Categories,Codeforces,,Codeforces Round #136 (Div. 1) & Codeforces Round #136 (Div. 2),3
59,60,Bubble Sort Graph,Categories,Codeforces,,Codeforces Round #198 (Div. 2) & Codeforces Round #198 (Div. 1),3
60,61,"""Or"" Game",Categories,Codeforces,,Codeforces Round #320 (Div. 1) [Bayan Thanks-Round] & Codeforces Round #320 (Div. 2) [Bayan Thanks-Round],3
61,62,Unbearable Controversy of Being,Categories,Codeforces,,Codeforces Round #277.5 (Div. 2),3
62,63,Working out,Categories,Codeforces,,Codeforces Round #245 (Div. 1) & Codeforces Round #245 (Div. 2),3
63,64,One-Dimensional Battle Ships,Categories,Codeforces,,Codeforces Round #Pi (Div. 2),4
64,65,Maximum Submatrix 2,Categories,Codeforces,,Codeforces Round #221 (Div. 1) & Codeforces Round #221 (Div. 2),4
65,66,Office Keys,Categories,Codeforces,,"Codeforces Round #424 (Div. 1, rated, based on VK Cup Finals) & Codeforces Round #424 (Div. 2, rated, based on VK Cup Finals)",4
66,67,Quantity of Strings,Categories,Codeforces,,Codeforces Round #107 (Div. 1) & Codeforces Round #107 (Div. 2),4
67,68,Red-Green Towers,Categories,Codeforces,,Codeforces Round #273 (Div. 2),4
68,69,Appleman and Tree,Categories,Codeforces,,Codeforces Round #263 (Div. 1) & Codeforces Round #263 (Div. 2),4
69,70,Babaei and Birthday Cake,Categories,Codeforces,,Codeforces Round #343 (Div. 2),4
70,71,Zero Tree,Categories,Codeforces,,Codeforces Round #168 (Div. 1) & Codeforces Round #168 (Div. 2),4
71,72,Weird Chess,Categories,Codeforces,,Codeforces Round #300,4
72,73,Fox And Jumping,Categories,Codeforces,,Codeforces Round #290 (Div. 2) & Codeforces Round #290 (Div. 1),4
73,74,Bear and Two Paths,Categories,Codeforces,,VK Cup 2016 - Round 3,4
74,75,Innokenty and a Football League,Categories,Codeforces,,?????????? 2017 - ????? (?????? ??? ??????-??????????),4
75,76,Remainders Game,Categories,Codeforces,,Codeforces Round #360 (Div. 1) & Codeforces Round #360 (Div. 2),4
76,77,Two Sets,Categories,Codeforces,,Codeforces Round #268 (Div. 1) & Codeforces Round #268 (Div. 2),4
77,78,Count Good Substrings,Categories,Codeforces,,Codeforces Round #258 (Div. 2),4
78,79,Road Map,Categories,Codeforces,,Codeforces Beta Round #34 (Div. 2),4
79,80,Sea Battle,Categories,Codeforces,,Technocup 2017 - Elimination Round 2,4
80,81,Subway,Categories,Codeforces,,Codeforces Beta Round #95 (Div. 2),4
81,82,Volatile Kite,Categories,Codeforces,,VK Cup 2017 - Round 2,4
82,83,Dreamoon and Sets,Categories,Codeforces,,Codeforces Round #272 (Div. 2) & Codeforces Round #272 (Div. 1),4
83,84,Vanya and Computer Game,Categories,Codeforces,,Codeforces Round #280 (Div. 2),4
84,85,Polo the Penguin and Houses,Categories,Codeforces,,Codeforces Round #177 (Div. 1),4
85,86,Spongebob and Squares,Categories,Codeforces,,Codeforces Round #332 (Div. 2),4
86,87,Eternal Victory,Categories,Codeforces,,Codeforces Beta Round #57 (Div. 2),4
87,88,Toy Sum,Categories,Codeforces,,Codeforces Round #238 (Div. 2) & Codeforces Round #238 (Div. 1),4
88,89,Tavas and Malekas,Categories,Codeforces,,Codeforces Round #299 (Div. 2) & Codeforces Round #299 (Div. 1),4
89,90,Book of Evil,Categories,Codeforces,,Codeforces Round #196 (Div. 2) & Codeforces Round #196 (Div. 1),4
90,91,Queue,Categories,Codeforces,,Codeforces Beta Round #75 (Div. 1 Only) & Codeforces Beta Round #75 (Div. 2 Only),4
91,92,Jzzhu and Cities,Categories,Codeforces,,Codeforces Round #257 (Div. 1) & Codeforces Round #257 (Div. 2),4
92,93,Magic Box,Categories,Codeforces,,Codeforces Round #143 (Div. 2),4
93,94,Vanya and Triangles,Categories,Codeforces,,Codeforces Round #308 (Div. 2),4
94,95,Directed Roads,Categories,Codeforces,,Codeforces Round #369 (Div. 2),4
95,96,Petya and Divisors,Categories,Codeforces,,Codeforces Beta Round #85 (Div. 1 Only) & Codeforces Beta Round #85 (Div. 2 Only),4
96,97,Little Elephant and Cards,Categories,Codeforces,,Codeforces Round #129 (Div. 1) & Codeforces Round #129 (Div. 2),4
97,98,As Fast As Possible,Categories,Codeforces,,Codeforces Round #364 (Div. 1) & Codeforces Round #364 (Div. 2),4
98,99,Pair of Numbers,Categories,Codeforces,,Codeforces Round #209 (Div. 2),4
99,100,Bag of mice,Categories,Codeforces,,Codeforces Round #105 (Div. 2),4
100,101,Three Logos,Categories,Codeforces,,Codeforces Round #322 (Div. 2),4
101,102,Travel Card,Categories,Codeforces,,8VC Venture Cup 2017 - Final Round,4
102,103,Vessels,Categories,Codeforces,,Codeforces Round #218 (Div. 2),4
103,104,Planets,Categories,Codeforces,,Codeforces Round #142 (Div. 1) & Codeforces Round #142 (Div. 2),4
104,105,Chloe and pleasant prizes,Categories,Codeforces,,Codeforces Round #384 (Div. 2),4
105,106,Alarm Clock,Categories,Codeforces,,Codeforces Round #451 (Div. 2),4
106,107,My pretty girl Noora,Categories,Codeforces,,Codeforces Round #422 (Div. 2),4
107,108,Colliders,Categories,Codeforces,,Codeforces Round #109 (Div. 1) & Codeforces Round #109 (Div. 2),4
108,109,Tennis Game,Categories,Codeforces,,Codeforces Round #283 (Div. 2) & Codeforces Round #283 (Div. 1),4
109,110,Fish Weight,Categories,Codeforces,,Codeforces Round #180 (Div. 1) & Codeforces Round #180 (Div. 2),4
110,111,Image Preview,Categories,Codeforces,,Codeforces Round #345 (Div. 1) & Codeforces Round #345 (Div. 2),4
111,112,Lazy Student,Categories,Codeforces,,Codeforces Round #335 (Div. 1) & Codeforces Round #335 (Div. 2),4
112,113,Destroying Roads,Categories,Codeforces,,Codeforces Round #302 (Div. 1) & Codeforces Round #302 (Div. 2),4
113,114,Psychos in a Line,Categories,Codeforces,,Codeforces Round #189 (Div. 1) & Codeforces Round #189 (Div. 2),4
114,115,Tree Construction,Categories,Codeforces,,Codeforces Round #353 (Div. 2),4
115,116,Devu and his Brother,Categories,Codeforces,,Codeforces Round #251 (Div. 2),4
116,117,Design Tutorial: Inverse the Problem,Categories,Codeforces,,Codeforces Round #270,4
117,118,A Lot of Games,Categories,Codeforces,,Codeforces Round #260 (Div. 1) & Codeforces Round #260 (Div. 2),4
118,119,Dasha and Very Difficult Problem,Categories,Codeforces,,Codeforces Round #394 (Div. 2),4
119,120,Palindrome pairs,Categories,Codeforces,,VK Cup 2012 Qualification Round 2,4
120,121,The Door Problem,Categories,Codeforces,,"ICM Technex 2017 and Codeforces Round #400 (Div. 1 + Div. 2, combined)",4
121,122,Prefixes and Suffixes,Categories,Codeforces,,Codeforces Round #246 (Div. 2),4
122,123,DZY Loves Modification,Categories,Codeforces,,Codeforces Round #255 (Div. 1) & Codeforces Round #255 (Div. 2),4
123,124,Tree Requests,Categories,Codeforces,,Codeforces Round #316 (Div. 2),4
124,125,Regular Bridge,Categories,Codeforces,,Codeforces Round #306 (Div. 2),4
125,126,Phillip and Trains,Categories,Codeforces,,Codeforces Round #325 (Div. 1) & Codeforces Round #325 (Div. 2),4
126,127,High Load,Categories,Codeforces,,"Codeforces Round #423 (Div. 1, rated, based on VK Cup Finals) & Codeforces Round #423 (Div. 2, rated, based on VK Cup Finals)",4
127,128,Drazil and Tiles,Categories,Codeforces,,Codeforces Round #292 (Div. 2) & Codeforces Round #292 (Div. 1),4
128,129,Bad Luck Island,Categories,Codeforces,,Codeforces Round #301 (Div. 2),4
129,130,Puzzles,Categories,Codeforces,,Codeforces Round #362 (Div. 1) & Codeforces Round #362 (Div. 2),4
130,131,Robin Hood,Categories,Codeforces,,Codeforces Round #352 (Div. 1) & Codeforces Round #352 (Div. 2),4
131,132,The Child and Zoo,Categories,Codeforces,,Codeforces Round #250 (Div. 2) & Codeforces Round #250 (Div. 1),4
132,133,Roads not only in Berland,Categories,Codeforces,,Codeforces Beta Round #25 (Div. 2 Only),4
133,134,MUH and Cube Walls,Categories,Codeforces,,Codeforces Round #269 (Div. 2),4
134,135,Little Pony and Harmony Chest,Categories,Codeforces,,Codeforces Round #259 (Div. 1) & Codeforces Round #259 (Div. 2),4
135,136,Case of Fugitive,Categories,Codeforces,,Codeforces Round #310 (Div. 1) & Codeforces Round #310 (Div. 2),4
136,137,Cow Program,Categories,Codeforces,,Codeforces Round #174 (Div. 1) & Codeforces Round #174 (Div. 2),4
137,138,Alyona and a tree,Categories,Codeforces,,Codeforces Round #381 (Div. 1) & Codeforces Round #381 (Div. 2),4
138,139,Multipliers,Categories,Codeforces,,Codeforces Round #338 (Div. 2),4
139,140,Clique Problem,Categories,Codeforces,,Codeforces Round #296 (Div. 2) & Codeforces Round #296 (Div. 1),4
140,141,Little Artem and Dance,Categories,Codeforces,,VK Cup 2016 - Round 2,4
141,142,Symmetric and Transitive,Categories,Codeforces,,Codeforces Round #315 (Div. 1) & Codeforces Round #315 (Div. 2),5
142,143,Bear and Tower of Cubes,Categories,Codeforces,,Codeforces Round #356 (Div. 1) & Codeforces Round #356 (Div. 2),5
143,144,Police Stations,Categories,Codeforces,,Codeforces Round #408 (Div. 2),5
144,145,Renting Bikes,Categories,Codeforces,,Codeforces Round #211 (Div. 2),5
145,146,Lucky Transformation,Categories,Codeforces,,Codeforces Beta Round #91 (Div. 1 Only) & Codeforces Beta Round #91 (Div. 2 Only),5
146,147,R2D2 and Droid Army,Categories,Codeforces,,Codeforces Round #291 (Div. 2),5
147,148,Lipshitz Sequence,Categories,Codeforces,,Codeforces Round #333 (Div. 1) & Codeforces Round #333 (Div. 2),5
148,149,Winter Is Coming,Categories,Codeforces,,Codeforces Round #387 (Div. 2),5
149,150,Two Paths,Categories,Codeforces,,Codeforces Beta Round #14 (Div. 2),5
150,151,Volleyball,Categories,Codeforces,,Codeforces Beta Round #77 (Div. 1 Only) & Codeforces Beta Round #77 (Div. 2 Only),5
151,152,Field expansion,Categories,Codeforces,,"Playrix Codescapes Cup (Codeforces Round #413, rated, Div. 1 + Div. 2)",5
152,153,Petr#,Categories,Codeforces,,Codeforces Beta Round #86 (Div. 1 Only) & Codeforces Beta Round #86 (Div. 2 Only),5
153,154,Help General,Categories,Codeforces,,Codeforces Round #102 (Div. 1) & Codeforces Round #102 (Div. 2),5
154,155,Kyoya and Permutation,Categories,Codeforces,,Codeforces Round #309 (Div. 1) & Codeforces Round #309 (Div. 2),5
155,156,Complete The Graph,Categories,Codeforces,,Codeforces Round #372 (Div. 1) & Codeforces Round #372 (Div. 2),5
156,157,Valid Sets,Categories,Codeforces,,Codeforces Round #277 (Div. 2),5
157,158,Super M,Categories,Codeforces,,Codeforces Round #328 (Div. 2),5
158,159,Sereja ans Anagrams,Categories,Codeforces,,Codeforces Round #215 (Div. 1) & Codeforces Round #215 (Div. 2),5
159,160,Cartons of milk,Categories,Codeforces,,Codeforces Round #398 (Div. 2),5
160,161,Dima and Bacteria,Categories,Codeforces,,Codeforces Round #234 (Div. 2),5
161,162,Misha and Permutations Summation,Categories,Codeforces,,Codeforces Round #285 (Div. 2) & Codeforces Round #285 (Div. 1),5
162,163,Yaroslav and Time,Categories,Codeforces,,Codeforces Round #182 (Div. 1) & Codeforces Round #182 (Div. 2),5
163,164,How many trees?,Categories,Codeforces,,Codeforces Beta Round #9 (Div. 2 Only),5
164,165,Lucky Common Subsequence,Categories,Codeforces,,Codeforces Round #201 (Div. 1) & Codeforces Round #201 (Div. 2),5
165,166,Mishka and Interesting sum,Categories,Codeforces,,Codeforces Round #365 (Div. 2),5
166,167,Block Tower,Categories,Codeforces,,Codeforces Round #191 (Div. 2),5
167,168,Weird journey,Categories,Codeforces,,Codeforces Round #407 (Div. 1) & Codeforces Round #407 (Div. 2),5
168,169,Levko and Array,Categories,Codeforces,,Codeforces Round #210 (Div. 1) & Codeforces Round #210 (Div. 2),5
169,170,The Bakery,Categories,Codeforces,,Codeforces Round #426 (Div. 1) & Codeforces Round #426 (Div. 2),5
170,171,Jumping on Walls,Categories,Codeforces,,Codeforces Round #125 (Div. 1) & Codeforces Round #125 (Div. 2),5
171,172,Dima and Two Sequences,Categories,Codeforces,,Codeforces Round #167 (Div. 2) & Codeforces Round #167 (Div. 1),5
172,173,Ability To Convert,Categories,Codeforces,,Codeforces Round #392 (Div. 2),5
173,174,Counting Rectangles is Fun,Categories,Codeforces,,Codeforces Round #219 (Div. 1) & Codeforces Round #219 (Div. 2),5
174,175,Leaving Auction,Categories,Codeforces,,Codeforces Round #388 (Div. 2),5
175,176,"Misha, Grisha and Underground",Categories,Codeforces,,Codeforces Round #425 (Div. 2),5
176,177,Queue,Categories,Codeforces,,Codeforces Round #205 (Div. 2),5
177,178,Kay and Snowflake,Categories,Codeforces,,Codeforces Round #359 (Div. 1) & Codeforces Round #359 (Div. 2),5
178,179,Maximum Xor Secondary,Categories,Codeforces,,Codeforces Round #172 (Div. 1) & Codeforces Round #172 (Div. 2),5
179,180,Increase Sequence,Categories,Codeforces,,Codeforces Round #266 (Div. 2),5
180,181,Chip 'n Dale Rescue Rangers,Categories,Codeforces,,Codeforces Round #327 (Div. 1) & Codeforces Round #327 (Div. 2),5
181,182,Gluttony,Categories,Codeforces,,Codeforces Round #446 (Div. 1) & Codeforces Round #446 (Div. 2),5
182,183,Suspects,Categories,Codeforces,,Codeforces Round #110 (Div. 1) & Codeforces Round #110 (Div. 2),5
183,184,Artsem and Saunders,Categories,Codeforces,,Codeforces Round #397 by Kaspersky Lab and Barcelona Bootcamp (Div. 1 + Div. 2 combined),5
184,185,Petya and His Friends,Categories,Codeforces,,Codeforces Beta Round #61 (Div. 2),5
185,186,Ciel and Duel,Categories,Codeforces,,Codeforces Round #190 (Div. 1) & Codeforces Round #190 (Div. 2),5
186,187,Theseus and labyrinth,Categories,Codeforces,,Codeforces Round #354 (Div. 2),5
187,188,Maxim and Array,Categories,Codeforces,,Codeforces Round #374 (Div. 2),5
188,189,Palindromic characteristics,Categories,Codeforces,,Codeforces Round #427 (Div. 2),5
189,190,Fox and Minimal path,Categories,Codeforces,,Codeforces Round #228 (Div. 1) & Codeforces Round #228 (Div. 2),5
190,191,Infinite Maze,Categories,Codeforces,,Codeforces Round #124 (Div. 1) & Codeforces Round #124 (Div. 2),5
191,192,Chocolate,Categories,Codeforces,,Codeforces Round #279 (Div. 2),5
192,193,Least Cost Bracket Sequence,Categories,Codeforces,,Codeforces Beta Round #3,5
193,194,Handshakes,Categories,Codeforces,,Codeforces Round #298 (Div. 2),5
194,195,New Year Contest,Categories,Codeforces,,Codeforces Round #100,5
195,196,Minimization,Categories,Codeforces,,Codeforces Round #317 [AimFund Thanks-Round] (Div. 1) & Codeforces Round #317 [AimFund Thanks-Round] (Div. 2),5
196,197,Jeff and Furik,Categories,Codeforces,,Codeforces Round #204 (Div. 1) & Codeforces Round #204 (Div. 2),5
197,198,Persistent Bookcase,Categories,Codeforces,,Codeforces Round #368 (Div. 2),5
198,199,Chips,Categories,Codeforces,,Codeforces Round #194 (Div. 1) & Codeforces Round #194 (Div. 2),5
199,200,Alyona and Strings,Categories,Codeforces,,Codeforces Round #358 (Div. 2),5
200,201,Restore Cube,Categories,Codeforces,,Codeforces Round #265 (Div. 1),5
201,202,Cycle in Graph,Categories,Codeforces,,Codeforces Round #161 (Div. 2),5
202,203,Palindrome Degree,Categories,Codeforces,,Codeforces Beta Round #7,5
203,204,Timofey and rectangles,Categories,Codeforces,,Codeforces Round #395 (Div. 1) & Codeforces Round #395 (Div. 2),5
204,205,Olympiad,Categories,Codeforces,,Codeforces Round #137 (Div. 2),5
205,206,Falling Anvils,Categories,Codeforces,,Codeforces Beta Round #69 (Div. 1 Only) & Codeforces Beta Round #69 (Div. 2 Only),5
206,207,Bear and Tree Jumps,Categories,Codeforces,,VK Cup 2017 - Round 1,5
207,208,Winter is here,Categories,Codeforces,,Codeforces Round #428 (Div. 2),5
208,209,Lucky Number 2,Categories,Codeforces,,Codeforces Round #104 (Div. 1) & Codeforces Round #104 (Div. 2),5
209,210,Vitaly and Cycle,Categories,Codeforces,,Codeforces Round #311 (Div. 2),5
210,211,Dima and Hares,Categories,Codeforces,,Codeforces Round #208 (Div. 2),5
211,212,Strip,Categories,Codeforces,,Codeforces Round #278 (Div. 2) & Codeforces Round #278 (Div. 1) & Codeforces Round #278 (Div. 2) & Codeforces Round #278 (Div. 1),5
212,213,Rectangle and Square,Categories,Codeforces,,Codeforces Beta Round #97 (Div. 1) & Codeforces Beta Round #97 (Div. 2),5
213,214,Upgrading Array,Categories,Codeforces,,Codeforces Round #236 (Div. 2) & Codeforces Round #236 (Div. 1),5
214,215,A Simple Task,Categories,Codeforces,,Codeforces Beta Round #11,5
215,216,Basketball Team,Categories,Codeforces,,Codeforces Beta Round #83 (Div. 1 Only) & Codeforces Beta Round #83 (Div. 2 Only),5
216,217,Preparing for the Contest,Categories,Codeforces,,Codeforces Round #222 (Div. 1) & Codeforces Round #222 (Div. 2),5
217,218,Obsessive String,Categories,Codeforces,,Codeforces Round #282 (Div. 1) & Codeforces Round #282 (Div. 2),5
218,219,Moodular Arithmetic,Categories,Codeforces,,Codeforces Round #334 (Div. 1) & Codeforces Round #334 (Div. 2),5
219,220,Mahmoud and a Dictionary,Categories,Codeforces,,Codeforces Round #396 (Div. 2),5
220,221,Anton and School - 2,Categories,Codeforces,,Codeforces Round #404 (Div. 2),5
221,222,Friends and Subsequences,Categories,Codeforces,,Codeforces Round #361 (Div. 2),5
222,223,Lawnmower,Categories,Codeforces,,Codeforces Beta Round #87 (Div. 1 Only) & Codeforces Beta Round #87 (Div. 2 Only),5
223,224,Missile Silos,Categories,Codeforces,,Codeforces Round #103 (Div. 2),5
224,225,Xenia and Hamming,Categories,Codeforces,,Codeforces Round #207 (Div. 1) & Codeforces Round #207 (Div. 2),5
225,226,Skills,Categories,Codeforces,,Codeforces Round #339 (Div. 1) & Codeforces Round #339 (Div. 2),5
226,227,Fedor and coupons,Categories,Codeforces,,Codeforces Round #390 (Div. 2),5
227,228,Mahmoud and Ehab and another array construction task,Categories,Codeforces,,Codeforces Round #473 (Div. 2),5
228,229,An overnight dance in discotheque,Categories,Codeforces,,Codeforces Round #418 (Div. 2),5
229,230,Jon and Orbs,Categories,Codeforces,,"Divide by Zero 2017 and Codeforces Round #399 (Div. 1 + Div. 2, combined)",5
230,231,Roman and Numbers,Categories,Codeforces,,Codeforces Round #235 (Div. 2),5
231,232,Hydra,Categories,Codeforces,,Codeforces Round #150 (Div. 1) & Codeforces Round #150 (Div. 2),6
232,233,Naughty Stone Piles,Categories,Codeforces,,Codeforces Round #140 (Div. 1) & Codeforces Round #140 (Div. 2),6
233,234,Apple Tree,Categories,Codeforces,,Codeforces Round #202 (Div. 1) & Codeforces Round #202 (Div. 2),6
234,235,Doctor,Categories,Codeforces,,Codeforces Beta Round #72 (Div. 1 Only) & Codeforces Beta Round #72 (Div. 2 Only),6
235,236,Sum,Categories,Codeforces,,Codeforces Round #159 (Div. 2),6
236,237,Sereja and Periods,Categories,Codeforces,,Codeforces Round #187 (Div. 1) & Codeforces Round #187 (Div. 2),6
237,238,Invariance of Tree,Categories,Codeforces,,Codeforces Round #319 (Div. 1) & Codeforces Round #319 (Div. 2),6
238,239,Table,Categories,Codeforces,,Codeforces Round #144 (Div. 1) & Codeforces Round #144 (Div. 2),6
239,240,Yet Another Number Game,Categories,Codeforces,,Codeforces Round #173 (Div. 2),6
240,241,Fedor and Essay,Categories,Codeforces,,Codeforces Round #267 (Div. 2),6
241,242,Felicity's Big Secret Revealed,Categories,Codeforces,,"Codecraft-17 and Codeforces Round #391 (Div. 1 + Div. 2, combined)",6
242,243,Match & Catch,Categories,Codeforces,,Codeforces Round #244 (Div. 2),6
243,244,Cubes,Categories,Codeforces,,Codeforces Round #295 (Div. 2) & Codeforces Round #295 (Div. 1),6
244,245,Non-Secret Cypher,Categories,Codeforces,,Codeforces Round #120 (Div. 2),6
245,246,Graph Coloring,Categories,Codeforces,,"CROC 2016 - Final Round [Private, For Onsite Finalists Only]",6
246,247,Dispute,Categories,Codeforces,,Codeforces Round #149 (Div. 2),6
247,248,Sereja and Table,Categories,Codeforces,,Codeforces Round #243 (Div. 1),6
248,249,Ant on the Tree,Categories,Codeforces,,"Codeforces Beta Round #29 (Div. 2, Codeforces format)",6
249,250,Vanya and Treasure,Categories,Codeforces,,Codeforces Round #355 (Div. 2),6
250,251,Merge Sort,Categories,Codeforces,,Educational Codeforces Round 30,6
251,252,Coloring Brackets,Categories,Codeforces,,Codeforces Round #106 (Div. 2),6
252,253,Ilya and Roads,Categories,Codeforces,,Codeforces Round #186 (Div. 2),6
253,254,Playing with Permutations,Categories,Codeforces,,Codeforces Round #153 (Div. 1) & Codeforces Round #153 (Div. 2),6
254,255,Santa Claus and a Palindrome,Categories,Codeforces,,Technocup 2017 - Elimination Round 3,6
255,256,String,Categories,Codeforces,,Codeforces Beta Round #94 (Div. 1 Only) & Codeforces Beta Round #94 (Div. 2 Only),6
256,257,Mister B and PR Shifts,Categories,Codeforces,,Codeforces Round #421 (Div. 1) & Codeforces Round #421 (Div. 2),6
257,258,Beautiful numbers,Categories,Codeforces,,Codeforces Beta Round #51,6
258,259,AlgoRace,Categories,Codeforces,,Codeforces Round #119 (Div. 1) & Codeforces Round #119 (Div. 2),6
259,260,Two Strings,Categories,Codeforces,,Codeforces Round #138 (Div. 1) & Codeforces Round #138 (Div. 2),6
260,261,Mike and distribution,Categories,Codeforces,,Codeforces Round #410 (Div. 2),6
261,262,Legacy,Categories,Codeforces,,Codeforces Round #406 (Div. 1) & Codeforces Round #406 (Div. 2),6
262,263,Ring Road 2,Categories,Codeforces,,"Codeforces Beta Round #27 (Codeforces format, Div. 2)",6
